Station ID,Station Name,Station Latitude,Station Longitude
1,4 Avenue: 25th St,40.660397,-73.998091
2,4 Avenue: 36th St,40.655144,-74.003549
3,4 Avenue: 45th St,40.648939,-74.010006
4,4 Avenue: 53rd St,40.645069,-74.014034
5,4 Avenue: 59th St,40.641362,-74.017881
6,4 Avenue: 77th St,40.629742,-74.02551
7,4 Avenue: 86th St,40.622687,-74.028398
8,4 Avenue: 95th St,40.616622,-74.030876
9,4 Avenue: 9th St,40.670847,-73.988302
10,4 Avenue: Atlantic Av-Barclays Ctr,40.683666,-73.97881
11,4 Avenue: Bay Ridge Av,40.634967,-74.023377
12,4 Avenue: DeKalb Av,40.690635,-73.981824
13,4 Avenue: Pacific St,40.683666,-73.97881
14,4 Avenue: Prospect Av,40.665414,-73.992872
15,4 Avenue: Union St,40.677316,-73.98311
16,42nd St Shuttle: Grand Central,40.752769,-73.979189
17,42nd St Shuttle: Times Square,40.755983,-73.986229
18,6 Avenue: 14th St,40.738228,-73.996209
19,6 Avenue: 23rd St,40.742878,-73.992821
20,6 Avenue: 2nd Av,40.723402,-73.989938
21,6 Avenue: 34th St,40.749719,-73.987823
22,6 Avenue: 42nd St,40.754222,-73.984569
23,6 Avenue: 47-50th Sts Rockefeller Center,40.758663,-73.981329
24,6 Avenue: 47-50th Sts Rockefeller Center,40.758663,-73.981329
25,6 Avenue: 4th Av,40.670272,-73.989779
26,6 Avenue: 57th St,40.763972,-73.97745
27,6 Avenue: 7th Av,40.666271,-73.980305
28,6 Avenue: Bergen St,40.686145,-73.990862
29,6 Avenue: Broadway-Lafayette St,40.725297,-73.996204
30,6 Avenue: Carroll St,40.680303,-73.995048
31,6 Avenue: Church Av,40.644041,-73.979678
32,6 Avenue: Delancey St,40.718611,-73.988114
33,6 Avenue: East Broadway,40.713715,-73.990173
34,6 Avenue: Fort Hamilton Parkway,40.650782,-73.975776
35,6 Avenue: Grand St,40.718267,-73.993753
36,6 Avenue: Prospect Park-15 St,40.660365,-73.979493
37,6 Avenue: Smith-9th St,40.67358,-73.995959
38,6 Avenue: York St,40.699743,-73.986885
39,63rd Street: 21st St,40.754203,-73.942836
40,63rd Street: Lexington Av,40.764627,-73.96611
41,63rd Street: Roosevelt Island,40.759145,-73.95326
42,8 Avenue: 103rd St,40.796092,-73.961454
43,8 Avenue: 116th St,40.805085,-73.954882
44,8 Avenue: 125th St,40.811109,-73.952343
45,8 Avenue: 135th St,40.817894,-73.947649
46,8 Avenue: 145th St,40.824783,-73.944216
47,8 Avenue: 14th St,40.740893,-74.00169
48,8 Avenue: 155th St,40.830518,-73.941514
49,8 Avenue: 163rd St - Amsterdam Av,40.836013,-73.939892
