"","date","precipitation","maxTemperature"
"1",2014-01-01,0,33.08
"2",2014-01-02,0.330708661417323,33.08
"3",2014-01-03,0.291338582677165,18.14
"4",2014-01-04,0,29.12
"5",2014-01-05,0.141732283464567,39.92
"6",2014-01-06,0.358267716535433,55.04
"7",2014-01-07,0,19.22
"8",2014-01-08,0,22.1
"9",2014-01-09,0,32
"10",2014-01-10,0.110236220472441,37.04
"11",2014-01-11,0.5,57.92
"12",2014-01-12,0.0511811023622047,53.96
"13",2014-01-13,0,51.08
"14",2014-01-14,0.381889763779528,51.98
"15",2014-01-15,0,46.94
"16",2014-01-16,0,42.08
"17",2014-01-17,0,44.06
"18",2014-01-18,0.0708661417322835,41
"19",2014-01-19,0,37.94
"20",2014-01-20,0,46.04
"21",2014-01-21,0.460629921259843,31.1
"22",2014-01-22,0.0196850393700787,17.24
"23",2014-01-23,0,20.12
"24",2014-01-24,0,20.12
"25",2014-01-25,0.0393700787401575,28.22
"26",2014-01-26,0,33.98
"27",2014-01-27,0,44.06
"28",2014-01-28,0,21.2
"29",2014-01-29,0.0393700787401575,23.18
"30",2014-01-30,0,30.2
"31",2014-01-31,0,39.02
"32",2014-02-01,0,44.96
"33",2014-02-02,0,55.94
"34",2014-02-03,1.16929133858268,42.98
"35",2014-02-04,0,35.06
"36",2014-02-05,1.42913385826772,33.98
"37",2014-02-06,0,32
"38",2014-02-07,0,32
"39",2014-02-08,0,29.12
"40",2014-02-09,0.0984251968503937,31.1
"41",2014-02-10,0,29.12
"42",2014-02-11,0,26.24
"43",2014-02-12,0,25.16
"44",2014-02-13,1.77952755905512,35.96
"45",2014-02-14,0.299212598425197,39.92
"46",2014-02-15,0.12992125984252,37.04
"47",2014-02-16,0,30.2
"48",2014-02-17,0,32
"49",2014-02-18,0.161417322834646,39.02
"50",2014-02-19,0.259842519685039,44.96
"51",2014-02-20,0.031496062992126,51.08
"52",2014-02-21,0.0905511811023622,48.92
"53",2014-02-22,0,53.96
"54",2014-02-23,0,53.96
"55",2014-02-24,0,44.06
"56",2014-02-25,0,33.08
"57",2014-02-26,0.031496062992126,31.1
"58",2014-02-27,0,33.98
"59",2014-02-28,0,24.26
"60",2014-03-01,0,37.04
"61",2014-03-02,0,39.92
"62",2014-03-03,0.0393700787401575,32
"63",2014-03-04,0,29.12
"64",2014-03-05,0,39.02
"65",2014-03-06,0,31.1
"66",2014-03-07,0,37.04
"67",2014-03-08,0,57.02
"68",2014-03-09,0,44.06
"69",2014-03-10,0,51.08
"70",2014-03-11,0,66.02
"71",2014-03-12,0.350393700787402,55.94
"72",2014-03-13,0,32
"73",2014-03-14,0,46.04
"74",2014-03-15,0,57.92
"75",2014-03-16,0,42.08
"76",2014-03-17,0,35.06
"77",2014-03-18,0,42.98
"78",2014-03-19,0.921259842519685,46.04
"79",2014-03-20,0,53.96
"80",2014-03-21,0,51.08
"81",2014-03-22,0,62.96
"82",2014-03-23,0,42.08
"83",2014-03-24,0,35.06
"84",2014-03-25,0,39.02
"85",2014-03-26,0,35.96
"86",2014-03-27,0,44.06
"87",2014-03-28,0.0393700787401575,62.06
"88",2014-03-29,1.81102362204724,59
"89",2014-03-30,0.350393700787402,48.92
"90",2014-03-31,0.161417322834646,55.94
"91",2014-04-01,0,60.08
"92",2014-04-02,0,53.96
"93",2014-04-03,0.0708661417322835,66.92
"94",2014-04-04,0.208661417322835,46.94
"95",2014-04-05,0,53.96
